Date,price,volume
2019-03-03 04:31:00+00:00,3824.68,3.293262
2019-03-03 04:32:00+00:00,3824.99,6.281429
2019-03-03 04:33:00+00:00,3824.48,5.313208
2019-03-03 04:34:00+00:00,3826.12,14.794048
2019-03-03 04:35:00+00:00,3826.29,6.084862
2019-03-03 04:36:00+00:00,3826.06,11.365469
2019-03-03 04:37:00+00:00,3825.88,3.499122
2019-03-03 04:38:00+00:00,3825.93,6.094439
2019-03-03 04:39:00+00:00,3826.75,2.61635
2019-03-03 04:40:00+00:00,3826.8,9.184371
2019-03-03 04:41:00+00:00,3826.95,11.568426
2019-03-03 04:42:00+00:00,3825.65,5.531034
2019-03-03 04:43:00+00:00,3823.62,7.125854
2019-03-03 04:44:00+00:00,3823.35,6.226554
2019-03-03 04:45:00+00:00,3824.68,6.479167
2019-03-03 04:46:00+00:00,3823.86,4.97416098
2019-03-03 04:47:00+00:00,3823.45,6.313816
2019-03-03 04:48:00+00:00,3823.85,14.667987
2019-03-03 04:49:00+00:00,3823.5,7.133821
2019-03-03 04:50:00+00:00,3822.98,6.260584
2019-03-03 04:51:00+00:00,3823.83,4.101892
2019-03-03 04:52:00+00:00,3823.38,9.502902
2019-03-03 04:53:00+00:00,3823.84,7.899598
2019-03-03 04:54:00+00:00,3823.54,7.980232
2019-03-03 04:55:00+00:00,3823.54,8.91489999
2019-03-03 04:56:00+00:00,3823.31,6.253838
2019-03-03 04:57:00+00:00,3822.6,7.748206
2019-03-03 04:58:00+00:00,3822.23,4.70912
2019-03-03 04:59:00+00:00,3821.78,4.26008099
2019-03-03 05:00:00+00:00,3823.73,7.045371
2019-03-03 05:01:00+00:00,3823.78,8.651794
2019-03-03 05:02:00+00:00,3822.87,11.988534
2019-03-03 05:03:00+00:00,3821.57,2.90793
2019-03-03 05:04:00+00:00,3820.77,8.234981
2019-03-03 05:05:00+00:00,3821.92,14.577064
2019-03-03 05:06:00+00:00,3821.3,6.851196
2019-03-03 05:07:00+00:00,3820.92,3.290466
2019-03-03 05:08:00+00:00,3819.97,14.131621
2019-03-03 05:09:00+00:00,3820.37,30.771379
2019-03-03 05:10:00+00:00,3821.75,4.85114
2019-03-03 05:11:00+00:00,3820.89,6.352655
2019-03-03 05:12:00+00:00,3821.98,6.982321
2019-03-03 05:13:00+00:00,3821.01,8.11970799
2019-03-03 05:14:00+00:00,3821.95,10.924231
2019-03-03 05:15:00+00:00,3821.93,8.192682
2019-03-03 05:16:00+00:00,3822.22,26.261531
2019-03-03 05:17:00+00:00,3823.84,13.20038
2019-03-03 05:18:00+00:00,3823.86,7.944771
2019-03-03 05:19:00+00:00,3824.18,9.57499999
2019-03-03 05:20:00+00:00,3823.91,6.241121
2019-03-03 05:21:00+00:00,3823.58,3.217953
2019-03-03 05:22:00+00:00,3823.3,5.758215
2019-03-03 05:23:00+00:00,3822.85,3.654
2019-03-03 05:24:00+00:00,3823.62,6.698438
2019-03-03 05:25:00+00:00,3821.99,13.754427
2019-03-03 05:26:00+00:00,3822.04,7.909957
2019-03-03 05:27:00+00:00,3824.13,4.320808
2019-03-03 05:28:00+00:00,3823.65,8.593362
2019-03-03 05:29:00+00:00,3823.63,6.065383
2019-03-03 05:30:00+00:00,3823.96,3.471151
2019-03-03 05:31:00+00:00,3823.46,10.017351
2019-03-03 05:32:00+00:00,3821.19,12.902041
2019-03-03 05:33:00+00:00,3821.5,4.862214
2019-03-03 05:34:00+00:00,3822.5,5.290568
2019-03-03 05:35:00+00:00,3823.61,5.569507
2019-03-03 05:36:00+00:00,3824.43,9.462204
2019-03-03 05:37:00+00:00,3824.46,6.105263
2019-03-03 05:38:00+00:00,3824.42,2.406053
2019-03-03 05:39:00+00:00,3822.15,5.13359499
2019-03-03 05:40:00+00:00,3823,4.280686
2019-03-03 05:41:00+00:00,3822.76,7.658462
2019-03-03 05:42:00+00:00,3821.49,9.854825
2019-03-03 05:43:00+00:00,3821.27,4.438917
